"id","nama","deskripsi","kategori","lokasi","harga_tiket","rating","durasi","latlng","lat","lng","gambar_url","created_by","updated_by"
"511","Masjid Islamic Center","Masjid Islamic Center Samarinda adalah masjid terbesar di Kalimantan Timur dengan arsitektur yang megah dan menara setinggi 99 meter.","Tempat Ibadah","Samarinda","0","49","60","{'lat': -0.485, 'lng': 117.147}","-0.485","117.147","","1","1"
"512","Air Terjun Tanah Merah","Air terjun setinggi 20 meter yang terletak di kawasan hutan dengan air yang jernih. Lokasinya yang sejuk cocok untuk melepas penat.","Alam","Samarinda","15000","43","120","{'lat': -0.612, 'lng': 117.212}","-0.612","117.212","","1","1"
"513","Pasar Pagi Samarinda","Pasar tradisional terbesar di Samarinda yang menjual berbagai produk khas Kalimantan Timur, termasuk hasil hutan dan kerajinan tangan.","Pusat Perbelanjaan","Samarinda","0","42","90","{'lat': -0.498, 'lng': 117.142}","-0.498","117.142","","1","1"
"514","Pantai Amal","Pantai yang terletak di Kota Tarakan dengan pemandangan laut lepas dan tempat yang cocok untuk melihat matahari terbit.","Bahari","Tarakan","0","41","90","{'lat': 3.312, 'lng': 117.595}","3.312","117.595","","1","1"
"515","Taman Anggrek","Taman yang mengoleksi berbagai jenis anggrek khas Kalimantan, sekaligus sebagai pusat penelitian dan konservasi anggrek.","Cagar Alam","Balikpapan","10000","44","60","{'lat': -1.275, 'lng': 116.845}","-1.275","116.845","","1","1"
"516","Bukit Bangkirai","Kawasan hutan hujan tropis dengan jembatan tajuk (canopy bridge) yang menghubungkan pohon-pohon bangkirai raksasa.","Cagar Alam","Balikpapan","40000","46","180","{'lat': -1.085, 'lng': 116.752}","-1.085","116.752","","1","1"
"517","Monpes (Monumen Pancasila)","Monumen yang menggambarkan kelima sila Pancasila dengan arsitektur yang unik, menjadi ikon kota Samarinda.","Budaya","Samarinda","0","43","30","{'lat': -0.495, 'lng': 117.138}","-0.495","117.138","","1","1"
"518","Pantai Beras Basah","Pantai dengan pasir putih dan air laut yang jernih, terletak di dekat Kota Bontang. Ideal untuk berenang dan snorkeling.","Bahari","Bontang","20000","44","150","{'lat': 0.185, 'lng': 117.485}","0.185","117.485","","1","1"
"519","Taman Agro Wisata","Taman yang menggabungkan konsep pertanian dan wisata, pengunjung dapat memetik buah langsung dari pohon dan belajar pertanian organik.","Taman Hiburan","Samarinda","15000","42","120","{'lat': -0.452, 'lng': 117.168}","-0.452","117.168","","1","1"
"520","Kampung Dayak Pampang","Desa budaya yang dihuni oleh suku Dayak Kenyah, pengunjung dapat menyaksikan tarian tradisional dan melihat rumah panjang khas Dayak.","Budaya","Samarinda","25000","45","120","{'lat': -0.385, 'lng': 117.152}","-0.385","117.152","","1","1"
"521","Goa Haji Mangku","Goa alam dengan stalaktit dan stalagmit yang indah, memiliki nilai sejarah dan mitos bagi masyarakat setempat.","Alam","Balikpapan","20000","43","90","{'lat': -1.158, 'lng': 116.785}","-1.158","116.785","","1","1"
"522","Tugu Khatulistiwa","Monumen yang menandai garis khatulistiwa di Kalimantan Timur, dilengkapi dengan informasi edukatif tentang fenomena khatulistiwa.","Budaya","Kutai Barat","0","42","45","{'lat': 0.000, 'lng': 116.500}","0.000","116.500","","1","1"
"523","Danau Jempang","Danau terbesar di Kalimantan Timur yang menjadi habitat berbagai jenis ikan dan burung air. Cocok untuk memancing dan bird watching.","Alam","Kutai Barat","0","41","180","{'lat': -0.352, 'lng': 115.852}","-0.352","115.852","","1","1"
"524","Air Panas Semolon","Sumber air panas alami yang dipercaya memiliki khasiat untuk kesehatan, terletak di kawasan pedalaman Kutai Barat.","Alam","Kutai Barat","15000","43","150","{'lat': -0.285, 'lng': 115.785}","-0.285","115.785","","1","1"
"525","Pulau Sangalaki","Pulau kecil di Kepulauan Derawan yang terkenal sebagai tempat penangkaran penyu dan spot menyelam yang menakjubkan.","Bahari","Berau","75000","48","240","{'lat': 2.352, 'lng': 118.252}","2.352","118.252","","1","1"
"526","Taman Budaya","Kompleks yang menyajikan berbagai pertunjukan seni dan budaya Kalimantan Timur, dilengkapi dengan museum etnografi.","Budaya","Samarinda","10000","44","120","{'lat': -0.488, 'lng': 117.142}","-0.488","117.142","","1","1"
"527","Pantai Manggar","Pantai yang terletak di Balikpapan dengan garis pantai yang panjang, dilengkapi dengan waterpark dan berbagai fasilitas rekreasi.","Bahari","Balikpapan","20000","43","150","{'lat': -1.225, 'lng': 116.885}","-1.225","116.885","","1","1"
"528","Kawasan Industri Bontang","Wisata edukasi yang memperlihatkan proses industri LNG (Liquefied Natural Gas) terbesar di Indonesia.","Edukasi","Bontang","0","42","120","{'lat': 0.132, 'lng': 117.475}","0.132","117.475","","1","1"
"529","Air Terjun Batu Dinding","Air terjun dengan dinding batu yang menjulang tinggi, menciptakan pemandangan yang dramatis dan fotogenik.","Alam","Kutai Kartanegara","20000","44","150","{'lat': -0.185, 'lng': 116.852}","-0.185","116.852","","1","1"
"530","Museum Kayu Tuah Himba","Museum yang menyimpan berbagai jenis kayu khas Kalimantan dan informasi tentang industri kayu di daerah ini.","Budaya","Samarinda","5000","41","60","{'lat': -0.475, 'lng': 117.135}","-0.475","117.135","","1","1"
"531","Taman Krida","Taman olahraga dan rekreasi yang dilengkapi dengan lintasan lari, lapangan olahraga, dan area bermain anak.","Taman Hiburan","Balikpapan","0","42","90","{'lat': -1.265, 'lng': 116.835}","-1.265","116.835","","1","1"
"532","Pulau Kakaban","Pulau unik dengan danau air payau di tengahnya yang dihuni oleh ubur-ubur tidak menyengat. Fenomena alam yang langka.","Alam","Berau","50000","47","240","{'lat': 2.165, 'lng': 118.532}","2.165","118.532","","1","1"
"533","Masjid Agung At-Taqwa","Masjid besar di Kota Bontang dengan arsitektur modern yang megah, menjadi pusat kegiatan keagamaan masyarakat.","Tempat Ibadah","Bontang","0","46","45","{'lat': 0.135, 'lng': 117.468}","0.135","117.468","","1","1"
"534","Taman Lembah Hijau","Taman kota dengan konsep naturalistik, memiliki danau buatan, air terjun mini, dan berbagai jenis tanaman hias.","Taman Hiburan","Samarinda","0","43","90","{'lat': -0.472, 'lng': 117.158}","-0.472","117.158","","1","1"
"535","Pantai Tanah Merah","Pantai di Balikpapan yang terkenal dengan pasirnya yang berwarna kemerahan, menawarkan pemandangan sunset yang menakjubkan.","Bahari","Balikpapan","10000","42","120","{'lat': -1.305, 'lng': 116.795}","-1.305","116.795","","1","1"
"536","Goa Losan","Goa alam yang menjadi habitat kelelawar, dengan lorong-lorong yang menantang untuk dijelajahi.","Alam","Penajam Paser Utara","15000","42","120","{'lat': -1.485, 'lng': 116.585}","-1.485","116.585","","1","1"
"537","Tugu Adipura","Monumen yang memperingati keberhasilan Samarinda meraih penghargaan Adipura untuk kebersihan dan keindahan kota.","Budaya","Samarinda","0","41","30","{'lat': -0.498, 'lng': 117.145}","-0.498","117.145","","1","1"
"538","Kebun Binatang Samarinda","Kebun binatang yang menyimpan berbagai satwa khas Kalimantan, termasuk orangutan, beruang madu, dan burung enggang.","Cagar Alam","Samarinda","20000","42","120","{'lat': -0.465, 'lng': 117.168}","-0.465","117.168","","1","1"
"539","Pulau Maratua","Pulau terluar dengan bentuk seperti angka 9, terkenal dengan keindahan alam bawah laut dan resor-resor eksklusif.","Bahari","Berau","100000","49","300","{'lat': 2.248, 'lng': 118.635}","2.248","118.635","","1","1"
"540","Air Terjun Pinang Seribu","Air terjun bertingkat dengan pemandangan hutan tropis yang masih asri, cocok untuk trekking dan camping.","Alam","Kutai Kartanegara","15000","43","180","{'lat': -0.225, 'lng': 116.785}","-0.225","116.785","","1","1"
"541","Taman Cerdas","Taman yang dilengkapi dengan fasilitas wifi gratis dan area baca, menjadi tempat favorit pelajar dan mahasiswa.","Taman Hiburan","Samarinda","0","44","90","{'lat': -0.492, 'lng': 117.138}","-0.492","117.138","","1","1"
"542","Pantai Lamaru","Pantai yang terletak di pinggiran kota Balikpapan, relatif lebih sepi dan alami dibanding pantai lainnya di kota ini.","Bahari","Balikpapan","5000","40","120","{'lat': -1.185, 'lng': 116.968}","-1.185","116.968","","1","1"
"543","Monumen Tugu Tani","Monumen yang menggambarkan semangat petani Kalimantan Timur, terletak di kawasan pertanian Samarinda Seberang.","Budaya","Samarinda","0","41","30","{'lat': -0.485, 'lng': 117.185}","-0.485","117.185","","1","1"
"544","Danau Melintang","Danau yang terbentuk dari bekas penambangan batubara yang telah direklamasi, kini menjadi habitat burung dan ikan.","Alam","Kutai Kartanegara","0","40","120","{'lat': -0.452, 'lng': 116.985}","-0.452","116.985","","1","1"
"545","Taman Orchid Park","Taman yang khusus menampilkan berbagai jenis anggrek, dilengkapi dengan rumah kaca dan area pembibitan.","Taman Hiburan","Balikpapan","15000","43","90","{'lat': -1.255, 'lng': 116.825}","-1.255","116.825","","1","1"
"546","Pulau Bilang-Bilangan","Pulau kecil yang ideal untuk snorkeling dan diving, dengan terumbu karang yang masih terjaga keindahannya.","Bahari","Berau","40000","45","180","{'lat': 2.185, 'lng': 118.425}","2.185","118.425","","1","1"
"547","Masjid Baitul Muttaqien","Masjid tua dengan arsitektur tradisional Melayu, menjadi simbol sejarah perkembangan Islam di Kalimantan Timur.","Tempat Ibadah","Tenggarong","0","44","45","{'lat': -0.428, 'lng': 116.992}","-0.428","116.992","","1","1"
"548","Taman Air Mancur","Taman dengan pertunjukan air mancur menari yang diiringi musik, menjadi hiburan malam hari bagi warga kota.","Taman Hiburan","Samarinda","0","43","60","{'lat': -0.495, 'lng': 117.142}","-0.495","117.142","","1","1"
"549","Pantai Santan","Pantai dengan pasir putih dan air laut yang tenang, ideal untuk berenang dan bersantai dengan keluarga.","Bahari","Kutai Kartanegara","15000","42","150","{'lat': -0.165, 'lng': 117.425}","-0.165","117.425","","1","1"
"550","Air Terjun Siring","Air terjun yang mudah dijangkau, hanya berjarak beberapa kilometer dari pusat kota Samarinda.","Alam","Samarinda","10000","41","90","{'lat': -0.485, 'lng': 117.168}","-0.485","117.168","","1","1"
